rep,party,district,oil_gas,pipelines,coal
"Graves, Tom",R,GA-14,33800,3000,0
"Hanabusa, Colleen",D,HI-01,3500,0,0
"Gabbard, Tulsi",D,HI-02,6330,0,0
"Labrador, Raul",R,ID-01,14900,5500,250
"Simpson, Mike",R,ID-02,41300,5000,3700
"Rush, Bobby L.",D,IL-01,15500,12000,0
"Kelly, Robin",D,IL-02,2000,0,0
"Lipinski, Dan",D,IL-03,0,0,0
"Gutierrez, Luis V.",D,IL-04,0,0,0
"Quigley, Mike",D,IL-05,0,0,0
"Roskam, Peter J.",R,IL-06,0,0,0
"Davis, Danny K.",D,IL-07,2000,0,0
"Duckworth, Tammy",D,IL-08,8931,1500,0
"Schakowsky, Jan",D,IL-09,15,0,0
"Dold, Robert",R,IL-10,0,0,0
"Foster, Bill",D,IL-11,19350,5400,0
"Bost, Mike",R,IL-12,29000,2500,28200
"Davis, Rodney",R,IL-13,61000,15500,5100
"Hultgren, Randy",R,IL-14,18000,11000,1000
"Shimkus, John M.",R,IL-15,180450,46451,29200
"Kinzinger, Adam",R,IL-16,66250,16500,1000
"Bustos, Cheri",D,IL-17,11965,4000,0
"LaHood, Darin",R,IL-18,50900,15200,4050
"Visclosky, Peter J.",D,IN-01,0,0,0
"Walorski, Jackie",R,IN-02,26500,0,2000
"Stutzman, Marlin",R,IN-03,91530,5400,1000
"Rokita, Todd",R,IN-04,25600,0,0
"Brooks, Susan W.",R,IN-05,0,0,0
"Messer, Luke",R,IN-06,44750,4000,0
"Carson, Andre",D,IN-07,1000,0,0
"Bucshon, Larry",R,IN-08,17000,0,19000
"Young, Todd",R,IN-09,335396,21466,76920
"Blum, Rod",R,IA-01,25400,5400,0
"Loebsack, Dave W.",D,IA-02,0,0,0
"Young, David",R,IA-03,23500,2500,0
"King, Steve A.",R,IA-04,0,0,0
"Huelskamp, Tim",R,KS-01,64697,19900,0
"Jenkins, Lynn M.",R,KS-02,0,0,0
"Yoder, Kevin",R,KS-03,48375,2000,0
"Pompeo, Mike",R,KS-04,186600,25500,1000
"Whitfield, Ed",R,KY-01,55100,0,9500
"Guthrie, Brett",R,KY-02,58500,8000,11700
"Yarmuth, John",D,KY-03,0,0,0
"Massie, Thomas",R,KY-04,12500,0,1000
"Rogers, Harold",R,KY-05,0,0,0
"Barr, Garland",R,KY-06,0,0,0
"Scalise, Steve",R,LA-01,280600,29250,6400
"Richmond, Cedric L",D,LA-02,0,0,0
"Boustany, Charles",R,LA-03,0,0,0
"Fleming, John",R,LA-04,160130,2000,0
"Abraham, Ralph",R,LA-05,16250,6250,0
"Graves, Garret",R,LA-06,194199,35000,0
"Pingree, Chellie M.",D,ME-01,0,0,0
"Poliquin, Bruce",R,ME-02,48400,3500,0
"Harris, Andy",R,MD-01,20500,2000,2000
"Ruppersberger, C.A. Dutch",D,MD-02,0,0,0
"Sarbanes, John P.",D,MD-03,0,0,0
"Edwards, Donna",D,MD-04,4700,1500,0
"Hoyer, Steny H.",D,MD-05,40500,15000,0
"Delaney, John K.",D,MD-06,3500,3500,0
"Cummings, Elijah E.",D,MD-07,32000,0,0
"Van Hollen, Chris",D,MD-08,31000,9975,0
"Neal, Richard E.",D,MA-01,7000,3500,0
"McGovern, Jim",D,MA-02,0,0,0
"Tsongas, Niki",D,MA-03,4700,0,0
"Kennedy, Joseph P.",D,MA-04,0,0,0
"Clark, Katherine M.",D,MA-05,0,0,0
"Moulton, Seth",D,MA-06,4500,1000,0
"Capuano, Michael E.",D,MA-07,29000,7400,0
"Lynch, Stephen F.",D,MA-08,2500,0,0
"Keating, Bill",D,MA-09,8250,3000,0
"Benishek, Dan",R,MI-01,19925,0,2000
"Huizenga, Bill",R,MI-02,16500,0,0
"Amash, Justin",R,MI-03,10000,0,0
"Moolenaar, John",R,MI-04,4050,0,0
"Kildee, Daniel T.",D,MI-05,0,0,0
"Upton, Fred",R,MI-06,222250,53250,4000
"Walberg, Tim",R,MI-07,46900,1000,12500
"Bishop, Mike",R,MI-08,19900,0,0
"Levin, Sander M.",D,MI-09,0,0,0
"Miller, Candice S.",R,MI-10,0,0,0
"Trott, Dave",R,MI-11,4000,0,0
"Dingell, Debbie",D,MI-12,17200,7000,0
"Conyers, John",D,MI-13,0,0,0
"Lawrence, Brenda",D,MI-14,100,0,0
"Walz, Tim",D,MN-01,15500,0,0
"Kline, John P.",R,MN-02,0,0,0
"Paulsen, Erik",R,MN-03,55066,3700,0
"McCollum, Betty",D,MN-04,0,0,0
"Ellison, Keith M.",D,MN-05,0,0,0
"Emmer, Tom",R,MN-06,5450,0,0
"Peterson, Collin C.",D,MN-07,0,0,0
"Nolan, Rick",D,MN-08,531,22,0
"Kelly, Trent",R,MS-01,24150,3000,2700
"Thompson, Bennie G.",D,MS-02,19500,10000,0
"Harper, Gregg",R,MS-03,59050,8500,0
"Palazzo, Steven",R,MS-04,47200,3500,0
"Clay, William Lacy",D,MO-01,0,0,0
"Wagner, Ann",R,MO-02,0,0,0
"Luetkemeyer, Blaine",R,MO-03,6000,3000,6400
"Hartzler, Vicky",R,MO-04,9400,3000,1000
"Cleaver, Emanuel",D,MO-05,0,0,0
"Graves, Sam",R,MO-06,17000,3000,1000
"Long, Billy",R,MO-07,44500,5500,2500
"Smith, Jason T.",R,MO-08,0,0,0
"Zinke, Ryan",R,MT-AL,0,0,0
"Fortenberry, Jeff",R,NE-01,1500,0,0
"Ashford, Brad",D,NE-02,32500,1000,2000
"Smith, Adrian M.",R,NE-03,0,0,0
"Titus, Dina",D,NV-01,0,0,0
"Amodei, Mark E.",R,NV-02,0,0,0
"Heck, Joe",R,NV-03,302981,18666,20875
"Hardy, Cresent",R,NV-04,45000,7000,0
"Guinta, Frank",R,NH-01,34200,8100,0
"Kuster, Ann M.",D,NH-02,0,0,0
"Norcross, Donald W.",D,NJ-01,0,0,0
"LoBiondo, Frank A.",R,NJ-02,0,0,0
"MacArthur, Tom",R,NJ-03,0,0,0
"Smith, Christopher H.",R,NJ-04,0,0,0
"Garrett, E. Scott",R,NJ-05,0,0,0
"Pallone, Frank J.",D,NJ-06,0,0,0
"Lance, Leonard",R,NJ-07,23000,7000,0
"Sires, Albio",D,NJ-08,3500,2000,0
"Pascrell, Bill",D,NJ-09,0,0,0
"Payne, Donald M.",D,NJ-10,0,0,0
"Frelinghuysen, Rodney P.",R,NJ-11,0,0,0
"Watson Coleman, Bonnie",D,NJ-12,0,0,0
"Lujan Grisham, Michelle",D,NM-01,0,0,0
"Pearce, Steve",R,NM-02,222150,10000,0
"Lujan, Ben Ray",D,NM-03,0,0,0
"Zeldin, Lee",R,NY-01,54600,1250,0
"King, Peter T.",R,NY-02,0,0,0
"Israel, Steve J.",D,NY-03,0,0,0
"Rice, Kathleen",D,NY-04,5200,0,0
"Meeks, Gregory W.",D,NY-05,2500,0,0
"Meng, Grace",D,NY-06,0,0,0
"Velazquez, Nydia",D,NY-07,0,0,0
"Jeffries, Hakeem S.",D,NY-08,0,0,0
"Clarke, Yvette D.",D,NY-09,2000,0,0
"Nadler, Jerrold L.",D,NY-10,0,0,0
"Donovan, Daniel M.",R,NY-11,0,0,0
"Maloney, Carolyn B.",D,NY-12,10800,0,0
"Rangel, Charles",D,NY-13,0,0,0
"Crowley, Joseph",D,NY-14,10500,6000,0
"Serrano, Jose",D,NY-15,0,0,0
"Engel, Eliot L.",D,NY-16,11200,0,0
"Lowey, Nita M.",D,NY-17,0,0,0
"Maloney, Sean Patrick",D,NY-18,7500,4000,0
"Gibson, Chris",R,NY-19,0,0,0
"Tonko, Paul D.",D,NY-20,0,0,0
"Stefanik, Elise",R,NY-21,55675,5500,0
"Hanna, Richard",R,NY-22,0,0,0
"Reed, Tom",R,NY-23,115850,28200,0
"Katko, John",R,NY-24,62250,9000,0
"Slaughter, Louise",D,NY-25,0,0,0
"Higgins, Brian M.",D,NY-26,9850,8850,0
"Collins, Chris",R,NY-27,59750,9200,0
"Butterfield, G.K.",D,NC-01,0,0,0
"Ellmers, Renee",R,NC-02,30500,4500,0
"Jones, Jr., Walter",R,NC-03,0,0,0
"Price, David",D,NC-04,6000,1000,0
"Foxx, Virginia",R,NC-05,19000,5000,2000
"Walker, Bradley Mark",R,NC-06,0,0,0
"Rouzer, David",R,NC-07,23490,2000,0
"Hudson, Richard",R,NC-08,95900,15200,0
"Pittenger, Robert",R,NC-09,17900,12900,0
"McHenry, Patrick T.",R,NC-10,0,0,0
"Meadows, Mark",R,NC-11,0,0,0
"Adams, Alma",D,NC-12,0,0,0
"Holding, George",R,NC-13,51499,5500,1000
"Cramer, Kevin",R,ND-AL,199900,22500,26000
"Chabot, Steve",R,OH-01,2100,1000,0
"Wenstrup, Brad R.",R,OH-02,0,0,0
"Beatty, Joyce",D,OH-03,5550,1500,0
"Jordan, Jim",R,OH-04,18000,3000,0
"Latta, Bob",R,OH-05,0,0,0
"Johnson, Bill",R,OH-06,129950,41000,21000
"Gibbs, Bob",R,OH-07,45300,13800,2000
"Davidson, Warren",R,OH-08,16161,10800,0
"Kaptur, Marcy",D,OH-09,8500,4000,0
"Turner, Michael R.",R,OH-10,18400,2000,0
"Fudge, Marcia L.",D,OH-11,400,2000,0
"Tiberi, Pat",R,OH-12,83000,6000,3500
"Ryan, Tim",D,OH-13,15500,4000,0
"Joyce, David P.",R,OH-14,34400,8900,11400
"Stivers, Steve",R,OH-15,56350,12500,13075
"Renacci, Jim",R,OH-16,55943,7200,0
"Bridenstine, Jim",R,OK-01,0,0,0
