rep,party,district,score_2016,score_lifetime
"Duckworth, Tammy",D,IL-08,95%,88%
"Schakowsky, Jan",D,IL-09,97%,97%
"Dold, Robert",R,IL-10,63%,50%
"Foster, Bill",D,IL-11,100%,92%
"Bost, Mike",R,IL-12,3%,3%
"Davis, Rodney",R,IL-13,3%,5%
"Hultgren, Randy",R,IL-14,0%,5%
"Shimkus, John M.",R,IL-15,3%,6%
"Kinzinger, Adam",R,IL-16,8%,6%
"Bustos, Cheri",D,IL-17,95%,85%
"LaHood, Darin",R,IL-18,0%,0%
"Visclosky, Peter J.",D,IN-01,100%,80%
"Walorski, Jackie",R,IN-02,3%,1%
"Stutzman, Marlin",R,IN-03,0%,4%
"Rokita, Todd",R,IN-04,0%,4%
"Brooks, Susan W.",R,IN-05,5%,3%
"Messer, Luke",R,IN-06,3%,1%
"Carson, Andre",D,IN-07,97%,93%
"Bucshon, Larry",R,IN-08,5%,5%
"Young, Todd",R,IN-09,5%,3%
"Blum, Rod",R,IA-01,3%,3%
"Loebsack, Dave W.",D,IA-02,97%,89%
"Young, David",R,IA-03,3%,3%
"King, Steve A.",R,IA-04,3%,4%
"Huelskamp, Tim",R,KS-01,0%,5%
"Jenkins, Lynn M.",R,KS-02,3%,3%
"Yoder, Kevin",R,KS-03,0%,3%
"Pompeo, Mike",R,KS-04,3%,4%
"Whitfield, Ed",R,KY-01,17%,14%
"Guthrie, Brett",R,KY-02,0%,6%
"Yarmuth, John",D,KY-03,92%,93%
"Massie, Thomas",R,KY-04,3%,10%
"Rogers, Harold",R,KY-05,5%,9%
"Barr, Garland",R,KY-06,0%,2%
"Scalise, Steve",R,LA-01,3%,4%
"Richmond, Cedric L",D,LA-02,92%,77%
"Boustany, Charles",R,LA-03,3%,4%
"Fleming, John",R,LA-04,3%,4%
"Abraham, Ralph",R,LA-05,3%,3%
"Graves, Garret",R,LA-06,8%,4%
"Pingree, Chellie M.",D,ME-01,97%,96%
"Poliquin, Bruce",R,ME-02,21%,15%
"Harris, Andy",R,MD-01,0%,3%
"Ruppersberger, C.A. Dutch",D,MD-02,95%,85%
"Sarbanes, John P.",D,MD-03,100%,96%
"Edwards, Donna",D,MD-04,95%,97%
"Hoyer, Steny H.",D,MD-05,92%,82%
"Delaney, John K.",D,MD-06,100%,93%
"Cummings, Elijah E.",D,MD-07,100%,95%
"Van Hollen, Chris",D,MD-08,100%,98%
"Neal, Richard E.",D,MA-01,97%,92%
"McGovern, Jim",D,MA-02,97%,99%
"Tsongas, Niki",D,MA-03,100%,95%
"Kennedy, Joseph P.",D,MA-04,92%,96%
"Clark, Katherine M.",D,MA-05,100%,98%
"Moulton, Seth",D,MA-06,100%,99%
"Capuano, Michael E.",D,MA-07,100%,96%
"Lynch, Stephen F.",D,MA-08,100%,95%
"Keating, Bill",D,MA-09,97%,96%
"Benishek, Dan",R,MI-01,5%,5%
"Huizenga, Bill",R,MI-02,3%,5%
"Amash, Justin",R,MI-03,8%,15%
"Moolenaar, John",R,MI-04,3%,3%
"Kildee, Daniel T.",D,MI-05,100%,97%
"Upton, Fred",R,MI-06,13%,26%
"Walberg, Tim",R,MI-07,3%,4%
"Bishop, Mike",R,MI-08,5%,4%
"Levin, Sander M.",D,MI-09,100%,91%
"Miller, Candice S.",R,MI-10,8%,11%
"Trott, Dave",R,MI-11,5%,4%
"Dingell, Debbie",D,MI-12,97%,97%
"Conyers, John",D,MI-13,97%,81%
"Lawrence, Brenda",D,MI-14,100%,97%
"Walz, Tim",D,MN-01,82%,81%
"Kline, John P.",R,MN-02,3%,4%
"Paulsen, Erik",R,MN-03,18%,16%
"McCollum, Betty",D,MN-04,100%,93%
"Ellison, Keith M.",D,MN-05,87%,93%
"Emmer, Tom",R,MN-06,0%,1%
"Peterson, Collin C.",D,MN-07,18%,33%
"Nolan, Rick",D,MN-08,89%,83%
"Kelly, Trent",R,MS-01,0%,0%
"Thompson, Bennie G.",D,MS-02,97%,81%
"Harper, Gregg",R,MS-03,0%,3%
"Palazzo, Steven",R,MS-04,0%,3%
"Clay, William Lacy",D,MO-01,100%,89%
"Wagner, Ann",R,MO-02,5%,3%
"Luetkemeyer, Blaine",R,MO-03,0%,4%
"Hartzler, Vicky",R,MO-04,0%,2%
"Cleaver, Emanuel",D,MO-05,95%,87%
"Graves, Sam",R,MO-06,0%,5%
"Long, Billy",R,MO-07,0%,2%
"Smith, Jason T.",R,MO-08,0%,1%
"Zinke, Ryan",R,MT-AL,5%,4%
"Fortenberry, Jeff",R,NE-01,16%,18%
